StyleName,Filter,Transform
ARDays,all,c
Accruals,all,c
Accruals.S,all,c
CAcqR,all,c
ROIC,all,c
CFROIC,all,c
DY_f12m,all,c
DY_curr,all,c
EBITDAM,all,c
EBITDAM_l2yrAvg_chg,all,c
EGP_f2yr,all,c
EPSg_l2yr,all,c
EPSg_f2yr,all,c
FCFROIC,all,c
GPM_ws,all,c
GPOA,all,c
IntC,all,c
LTDtCE_ws,all,r
LTDtE,all,r
MkCap_curr,all,nl
NIg_l1yr_ws,all,c
NM,all,c
NM_ws,all,c
NM_l2yrAvg_chg,all,c
OPM,all,c
OPM_ws,all,c
OPM_l2yrAvg_chg,all,c
PB_curr,all,r
PE_curr,all,r
PE_f12m,all,r
PC_curr,all,r
PFCF_curr,all,r
PS_curr,all,r
EV2EBITDA,all,r
CFO2EV,all,c
FCF2EV,all,c
OpLev,all,c
Payout_curr,all,c
Payout_l2yr,all,c
ROA_ws,all,c
ROE_curr,all,c
ROE_ws,all,c
ROEavg_f2yr,all,c
ROE_l2yr,all,c
REVg_l1yr_ws,all,c
SGP_f2yr,all,c
SustG,all,c
5YRel_EBITDA2P,all,c
5YRel_CFO2P,all,c
5YRel_CFO2EV,all,c
EPSRev3M,all,c
Mom_12m1M,all,c
Mom_6M,all,c
Mom_1M,all,m
ARM_starmine,all,c
EQ_starmine,all,c
MediumTermMomentum,all,c
ShortTermMomentum,all,c
